No,fitness,backbone
19,0.016458511,from:0 to:1 operator:-1  from:0 to:5 operator:9  from:1 to:2 operator:-1  from:1 to:4 operator:8  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:8 operator:10  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  
20,0.013591766,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:1 to:9 operator:1  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:9 operator:9  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  
21,0.027404785,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:1 to:8 operator:6  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:4 to:8 operator:8  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:6 to:9 operator:9  from:7 to:8 operator:11  from:8 to:9 operator:-1  
22,0.017190933,from:0 to:1 operator:-1  from:0 to:7 operator:12  from:1 to:2 operator:3  from:2 to:3 operator:-1  from:2 to:7 operator:-1  from:3 to:4 operator:9  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:9 operator:9  from:6 to:7 operator:-1  from:6 to:8 operator:9  from:7 to:8 operator:-1  from:8 to:9 operator:-1  
23,0.016181946,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:3 to:6 operator:13  from:3 to:7 operator:8  from:4 to:5 operator:-1  from:4 to:8 operator:8  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:6 to:9 operator:9  from:7 to:8 operator:-1  from:8 to:9 operator:-1  
24,0.023643494,from:0 to:1 operator:-1  from:1 to:2 operator:3  from:2 to:3 operator:-1  from:2 to:7 operator:-1  from:3 to:4 operator:9  from:3 to:9 operator:2  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:9 operator:9  from:6 to:7 operator:-1  from:6 to:8 operator:9  from:7 to:8 operator:-1  from:8 to:9 operator:-1  
25,0.02139473,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:3 to:4 operator:9  from:4 to:5 operator:-1  from:4 to:8 operator:6  from:5 to:6 operator:-1  from:5 to:9 operator:9  from:6 to:7 operator:-1  from:6 to:8 operator:9  from:7 to:8 operator:-1  from:8 to:9 operator:-1  
26,0.022172928,from:0 to:1 operator:-1  from:0 to:8 operator:3  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:2 to:5 operator:-1  from:3 to:4 operator:9  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:9 operator:9  from:6 to:7 operator:-1  from:6 to:8 operator:9  from:7 to:8 operator:-1  from:8 to:9 operator:-1  
27,0.023853302,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:1 to:8 operator:6  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:4 to:8 operator:8  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:6 to:8 operator:4  from:7 to:8 operator:-1  from:8 to:9 operator:-1  
28,0.01726532,from:0 to:1 operator:-1  from:0 to:3 operator:9  from:0 to:5 operator:9  from:0 to:7 operator:8  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:2 to:4 operator:3  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:7 to:9 operator:2  from:8 to:9 operator:-1  
29,0.022462845,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:1 to:8 operator:6  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:4 to:8 operator:8  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:6 to:9 operator:9  from:7 to:8 operator:-1  from:7 to:9 operator:2  from:8 to:9 operator:-1  
30,0.016365051,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:1 to:4 operator:13  from:1 to:7 operator:13  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:3 to:9 operator:8  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:9 operator:9  from:6 to:7 operator:-1  from:7 to:8 operator:8  from:8 to:9 operator:-1  
31,0.019634247,from:0 to:1 operator:-1  from:0 to:5 operator:9  from:1 to:2 operator:-1  from:1 to:4 operator:8  from:2 to:3 operator:-1  from:2 to:9 operator:7  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  
